Evaluation
Total Distance	1332.2530865007757
Used Vehicle Number	11

VehicleID	CustomerID
0	o-33-51-9-35-65-66-71-34-68-d
1	o-72-75-23-67-39-21-22-41-56-d
2	o-63-64-49-36-90-32-20-1-d
3	o-92-42-14-44-38-43-15-57-74-58-d
4	o-98-16-86-17-61-91-100-94-93-37-13-d
5	o-83-45-8-48-19-47-46-5-96-60-d
6	o-69-31-62-11-82-7-88-70-10-89-d
7	o-12-29-24-80-78-81-79-3-77-50-d
8	o-95-59-85-87-2-73-4-54-55-25-d
9	o-28-27-52-99-6-84-18-97-d
10	o-76-30-53-40-26-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
