Evaluation
Total Distance	1965.342102560023
Used Vehicle Number	4

VehicleID	CustomerID
0	o-92-95-63-33-28-27-29-31-30-65-18-21-23-86-87-75-49-97-10-9-66-20-24-74-48-25-77-58-17-13-60-70-100-d
1	o-14-45-5-2-39-36-42-44-38-72-71-85-62-76-51-84-67-41-40-43-6-46-3-4-1-54-35-37-32-89-91-93-d
2	o-83-82-47-15-11-12-16-73-59-99-57-52-22-19-53-78-81-94-56-50-26-34-80-96-55-68-d
3	o-98-64-61-88-7-79-69-90-8-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
