Evaluation
Total Distance	1916.6690798553693
Used Vehicle Number	4

VehicleID	CustomerID
0	o-92-95-72-42-39-36-5-45-2-7-47-16-15-9-11-87-12-78-73-53-79-8-6-3-46-4-37-35-43-70-100-60-17-1-93-80-d
1	o-65-14-59-52-23-21-19-63-28-33-76-18-75-99-97-86-22-57-49-24-74-13-10-66-89-48-25-77-58-d
2	o-83-27-62-71-67-64-51-85-30-31-29-41-94-84-26-34-32-50-54-96-91-56-20-55-68-d
3	o-82-98-69-88-61-81-90-44-40-38-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
