Evaluation
Total Distance	1907.4702322196
Used Vehicle Number	4

VehicleID	CustomerID
0	o-92-95-63-33-28-27-29-31-30-71-67-62-76-18-21-23-19-34-50-84-51-85-22-20-49-24-32-26-58-77-25-48-89-d
1	o-45-5-14-47-15-11-12-16-73-59-87-9-52-86-75-99-97-10-57-66-13-17-4-1-100-60-74-80-91-93-d
2	o-65-83-82-98-2-72-39-36-42-44-61-88-7-8-40-38-37-41-6-46-3-55-68-96-54-43-70-35-d
3	o-69-90-64-94-81-53-78-79-56-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
