Evaluation
Total Distance	1710.7575058868315
Used Vehicle Number	4

VehicleID	CustomerID
0	o-65-92-95-63-62-33-28-27-29-31-30-67-76-18-21-23-19-22-49-51-26-85-84-32-34-50-89-20-24-48-25-77-58-74-17-100-80-d
1	o-72-42-39-36-5-45-2-88-7-47-16-15-9-11-87-12-78-73-10-79-8-6-3-1-4-46-43-35-37-54-93-91-60-70-d
2	o-14-59-52-82-98-69-61-71-83-64-99-53-75-97-86-57-56-66-96-68-55-13-d
3	o-38-40-44-41-81-90-94-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
