Evaluation
Total Distance	1764.5863909542495
Used Vehicle Number	4

VehicleID	CustomerID
0	o-65-92-95-63-62-33-28-27-29-31-30-67-76-18-21-23-19-22-49-51-26-85-84-32-34-50-89-20-24-48-25-77-58-74-17-100-80-d
1	o-72-39-36-42-2-45-5-71-44-40-38-41-61-88-3-46-8-7-6-79-78-9-10-55-4-1-43-35-37-54-68-70-60-91-93-d
2	o-83-14-47-59-75-16-15-11-12-73-99-52-53-90-57-86-97-87-94-13-96-56-66-d
3	o-82-98-69-64-81-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
