Evaluation
Total Distance	1478.5940268646357
Used Vehicle Number	13

VehicleID	CustomerID
0	o-12-29-34-71-65-66-35-77-d
1	o-31-63-90-11-64-49-48-47-82-d
2	o-72-75-39-23-67-55-56-25-d
3	o-91-16-86-44-38-43-57-14-100-d
4	o-52-7-19-46-36-10-70-32-d
5	o-1-33-81-78-51-9-3-20-50-d
6	o-92-98-42-15-73-22-41-74-2-21-d
7	o-83-5-45-8-84-61-85-93-17-60-d
8	o-27-62-30-79-54-68-80-24-d
9	o-28-26-40-87-97-95-4-58-d
10	o-59-94-96-99-6-89-18-13-37-d
11	o-69-76-88-d
12	o-53-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
