Evaluation
Total Distance	1663.3133624819404
Used Vehicle Number	13

VehicleID	CustomerID
0	o-91-16-86-44-38-61-85-93-17-5-d
1	o-21-72-75-23-67-39-55-56-25-d
2	o-98-14-15-42-57-41-74-43-d
3	o-92-59-37-96-99-97-87-2-13-94-95-100-d
4	o-29-34-71-65-66-20-35-d
5	o-1-51-81-78-33-9-90-63-32-d
6	o-28-12-50-24-79-68-80-54-3-77-d
7	o-52-7-88-27-48-47-19-82-31-d
8	o-30-64-49-10-70-89-d
9	o-83-36-11-18-60-46-d
10	o-45-62-8-6-4-26-d
11	o-73-40-84-58-d
12	o-69-76-53-22-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
