Evaluation
Total Distance	1565.7744691146368
Used Vehicle Number	15

VehicleID	CustomerID
0	o-31-63-64-49-36-47-46-1-d
1	o-21-72-75-23-67-39-56-4-74-2-58-d
2	o-34-65-71-66-20-35-3-d
3	o-83-45-86-38-14-16-91-17-5-d
4	o-59-61-44-85-98-37-6-96-97-100-93-d
5	o-52-82-48-19-11-90-32-10-7-70-d
6	o-92-95-94-18-60-8-57-43-d
7	o-12-33-81-78-51-9-29-68-24-d
8	o-42-15-41-22-73-55-13-89-d
9	o-28-27-50-76-79-26-54-80-25-d
10	o-62-88-30-77-d
11	o-69-99-40-d
12	o-53-d
13	o-84-d
14	o-87-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
