Evaluation
Total Distance	1770.0274856552462
Used Vehicle Number	15

VehicleID	CustomerID
0	o-59-98-92-14-38-86-16-91-85-100-37-d
1	o-1-33-69-30-35-71-66-20-d
2	o-28-12-50-27-19-63-90-32-70-d
3	o-47-11-62-36-49-48-46-d
4	o-2-42-57-15-22-41-75-74-43-d
5	o-72-73-39-23-21-55-56-54-d
6	o-5-45-61-44-84-83-60-17-93-d
7	o-34-3-76-79-81-78-29-68-24-d
8	o-95-94-96-18-99-6-82-97-58-d
9	o-31-26-67-4-25-80-d
10	o-52-7-88-64-10-13-89-d
11	o-51-40-87-77-d
12	o-8-d
13	o-53-d
14	o-65-9-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
