Evaluation
Total Distance	1575.1714014820411
Used Vehicle Number	11

VehicleID	CustomerID
0	o-67-59-60-56-54-58-73-80-64-61-72-d
1	o-13-12-14-16-15-17-18-36-19-d
2	o-86-87-76-70-71-78-77-79-81-82-83-89-d
3	o-57-55-43-41-42-46-50-51-48-45-40-68-d
4	o-27-30-25-37-39-38-35-33-52-29-d
5	o-66-63-65-62-74-84-94-85-d
6	o-6-2-1-8-92-93-97-3-7-d
7	o-31-32-53-44-22-24-28-26-34-47-49-d
8	o-10-96-95-98-11-9-75-4-88-91-5-d
9	o-90-21-20-100-99-69-d
10	o-23-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
