Evaluation
Total Distance	1589.5353968384713
Used Vehicle Number	11

VehicleID	CustomerID
0	o-34-36-32-33-31-35-37-39-29-24-20-d
1	o-17-12-14-16-15-19-18-27-30-21-d
2	o-26-28-25-52-51-38-59-60-48-50-22-d
3	o-57-56-54-53-73-80-79-64-61-72-65-d
4	o-81-78-76-71-70-82-83-86-63-d
5	o-91-98-96-95-94-93-97-2-3-5-d
6	o-10-75-1-8-6-11-9-100-99-85-89-7-d
7	o-49-47-41-40-44-58-66-68-42-46-45-43-d
8	o-88-87-62-74-84-77-4-69-90-d
9	o-13-92-23-d
10	o-67-55-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
