Evaluation
Total Distance	1451.5746446696812
Used Vehicle Number	11

VehicleID	CustomerID
0	o-29-33-34-36-39-37-35-31-52-50-51-48-d
1	o-30-17-18-19-15-16-14-12-99-6-d
2	o-98-96-95-94-92-93-97-2-3-d
3	o-80-81-78-73-70-71-77-79-85-82-83-d
4	o-59-57-54-56-60-58-45-42-d
5	o-41-40-46-49-32-38-47-24-26-28-27-22-d
6	o-86-87-76-68-64-61-72-90-91-89-88-d
7	o-5-75-1-8-7-11-9-100-20-21-10-d
8	o-66-55-53-44-43-65-4-63-69-d
9	o-67-25-62-74-84-23-d
10	o-13-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
