Evaluation
Total Distance	1511.836031120521
Used Vehicle Number	10

VehicleID	CustomerID
0	o-98-96-95-94-92-93-97-2-1-d
1	o-35-37-39-17-18-19-16-14-12-6-3-d
2	o-13-10-8-15-11-9-7-4-91-75-5-d
3	o-31-32-33-34-36-38-27-30-29-24-20-d
4	o-26-28-25-52-51-50-48-45-46-49-22-21-d
5	o-47-60-56-44-58-54-23-41-40-42-43-d
6	o-57-55-59-53-81-78-71-73-70-80-d
7	o-65-63-66-68-64-72-77-79-82-83-61-d
8	o-67-86-62-74-84-90-89-99-88-85-d
9	o-87-76-100-69-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
