Evaluation
Total Distance	1757.7521610210556
Used Vehicle Number	11

VehicleID	CustomerID
0	o-82-80-76-81-78-71-77-83-85-73-70-d
1	o-88-86-89-92-84-91-79-54-60-56-d
2	o-57-55-59-53-51-48-45-40-68-64-61-72-d
3	o-46-50-52-49-44-58-33-36-39-37-35-d
4	o-1-2-98-96-95-97-94-100-93-d
5	o-34-32-31-29-38-30-14-16-19-18-d
6	o-10-6-7-17-15-28-26-75-5-3-12-d
7	o-13-27-8-22-11-9-90-99-66-65-63-d
8	o-67-87-62-74-20-21-24-47-43-42-41-d
9	o-25-4-69-d
10	o-23-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
