Evaluation
Total Distance	1551.4717189517512
Used Vehicle Number	11

VehicleID	CustomerID
0	o-96-98-92-94-93-100-97-99-2-1-d
1	o-5-3-7-8-10-11-9-12-4-91-75-d
2	o-13-17-18-19-15-16-14-6-89-d
3	o-20-24-25-27-29-38-39-36-34-50-52-49-d
4	o-33-32-35-37-30-28-26-23-22-21-47-d
5	o-54-31-53-56-58-60-51-59-69-d
6	o-57-55-41-40-44-46-45-48-80-d
7	o-67-43-42-62-74-72-64-61-68-66-d
8	o-81-63-76-71-70-73-77-79-d
9	o-90-65-87-86-83-85-84-88-d
10	o-78-95-82-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
