Evaluation
Total Distance	1153.0726661434312
Used Vehicle Number	10

VehicleID	CustomerID
0	o-43-55-54-53-56-58-60-48-51-50-52-d
1	o-78-81-76-71-70-73-79-77-80-91-75-d
2	o-32-33-31-35-37-38-39-36-34-d
3	o-5-3-7-8-10-11-9-12-100-99-49-d
4	o-13-17-18-19-15-16-14-6-4-d
5	o-90-87-83-86-82-85-84-89-88-1-47-d
6	o-67-65-63-62-74-72-64-61-68-59-69-d
7	o-42-57-41-40-44-46-45-23-22-21-d
8	o-96-98-95-94-93-92-97-2-d
9	o-20-24-25-27-29-30-28-26-66-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
