Evaluation
Total Distance	1033.5944444664917
Used Vehicle Number	11

VehicleID	CustomerID
0	o-78-81-76-71-73-70-79-77-80-91-75-d
1	o-55-57-54-53-56-58-60-59-d
2	o-96-98-95-94-93-92-97-99-100-1-d
3	o-33-32-31-35-37-38-39-36-34-d
4	o-13-17-18-19-15-16-14-12-4-d
5	o-90-87-83-86-82-85-84-89-88-69-49-47-d
6	o-42-43-41-40-44-46-45-48-51-50-52-d
7	o-67-65-63-62-74-72-64-61-68-66-d
8	o-3-7-8-10-11-6-26-23-2-d
9	o-20-24-25-27-29-30-28-22-21-d
10	o-5-9-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
