Evaluation
Total Distance	1563.744197670769
Used Vehicle Number	13

VehicleID	CustomerID
0	o-43-55-54-53-56-58-60-48-51-50-47-d
1	o-42-57-40-44-46-45-59-68-66-52-49-d
2	o-96-98-92-94-93-100-97-99-89-91-75-d
3	o-81-78-76-70-74-61-64-79-80-69-d
4	o-87-86-95-83-84-85-88-4-2-1-d
5	o-13-17-18-19-30-39-36-34-22-21-d
6	o-33-32-27-29-38-26-23-d
7	o-90-65-62-82-71-73-77-d
8	o-5-3-7-8-10-11-9-6-d
9	o-20-24-35-15-16-14-12-d
10	o-67-31-37-28-d
11	o-63-41-72-d
12	o-25-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
