Evaluation
Total Distance	1570.1748055649664
Used Vehicle Number	11

VehicleID	CustomerID
0	o-5-3-7-8-10-11-9-12-100-99-75-d
1	o-20-24-25-27-29-38-39-36-34-50-52-49-d
2	o-13-17-18-19-15-16-14-6-4-d
3	o-42-43-41-40-56-60-58-48-59-69-47-d
4	o-67-65-63-62-74-72-64-61-80-91-d
5	o-55-57-53-54-73-70-79-77-89-1-d
6	o-33-32-31-35-37-46-26-23-22-d
7	o-96-98-95-94-93-92-97-88-66-d
8	o-87-81-78-82-71-84-85-2-d
9	o-86-83-90-44-45-51-21-d
10	o-76-30-28-68-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
