Evaluation
Total Distance	1052.3889042854667
Used Vehicle Number	4

VehicleID	CustomerID
0	o-5-75-2-93-99-1-97-100-94-92-98-95-4-7-3-91-84-88-86-82-83-76-85-70-71-80-73-81-79-77-78-96-87-d
1	o-22-24-27-20-30-6-29-32-35-33-38-39-37-34-28-36-23-26-19-18-14-16-15-12-13-17-9-25-10-11-21-8-90-d
2	o-63-62-74-67-61-72-66-64-65-49-68-54-53-55-58-60-56-57-59-44-40-45-46-50-51-47-52-43-41-42-48-d
3	o-31-69-89-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
