Evaluation
Total Distance	896.9643549129235
Used Vehicle Number	4

VehicleID	CustomerID
0	o-5-75-2-1-99-97-92-100-95-98-94-7-4-89-3-91-84-88-86-82-83-76-85-70-71-80-73-81-79-77-78-96-87-d
1	o-22-24-27-30-29-6-32-33-31-35-37-38-39-36-34-28-26-23-18-19-16-12-15-14-13-25-17-11-10-9-21-8-90-d
2	o-93-63-62-20-74-72-61-64-68-49-65-55-53-54-58-56-59-60-40-57-46-44-45-50-51-47-52-43-41-42-48-d
3	o-67-69-66-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
