Evaluation
Total Distance	974.7706848568398
Used Vehicle Number	4

VehicleID	CustomerID
0	o-5-75-2-99-100-1-92-94-97-98-7-95-4-3-91-89-84-88-86-82-83-76-85-70-71-80-73-81-79-77-78-96-87-d
1	o-22-24-27-30-29-32-33-6-35-37-31-39-36-38-28-34-23-26-19-18-14-16-15-12-13-17-9-25-10-11-21-8-90-d
2	o-93-63-62-20-74-72-61-64-68-49-65-55-53-54-58-56-59-60-40-57-46-44-45-50-51-47-52-43-41-42-48-d
3	o-67-69-66-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
