Evaluation
Total Distance	1905.8741769899416
Used Vehicle Number	12

VehicleID	CustomerID
0	o-98-96-95-94-92-93-97-100-99-1-d
1	o-13-17-8-19-11-9-6-4-2-21-49-d
2	o-5-3-7-83-82-73-77-79-80-69-47-d
3	o-33-32-18-10-16-14-12-34-52-d
4	o-57-31-35-15-30-39-36-50-75-d
5	o-43-20-25-27-29-38-60-59-66-d
6	o-55-54-53-37-28-26-23-22-d
7	o-67-24-41-40-56-58-48-51-91-d
8	o-90-42-62-74-72-61-64-68-d
9	o-81-78-76-44-46-45-88-89-d
10	o-65-63-86-71-70-85-d
11	o-87-84-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
