Evaluation
Total Distance	1654.821810871014
Used Vehicle Number	12

VehicleID	CustomerID
0	o-3-5-7-8-15-16-14-12-99-1-49-d
1	o-43-20-25-27-29-38-39-36-34-52-47-d
2	o-90-98-95-94-92-93-97-100-4-69-d
3	o-67-57-54-53-56-58-60-59-d
4	o-24-13-18-19-11-9-6-89-91-21-75-d
5	o-42-65-63-62-74-72-61-64-68-66-d
6	o-33-32-31-35-37-45-48-51-50-d
7	o-17-86-83-82-73-77-79-80-d
8	o-81-87-76-71-70-85-88-2-d
9	o-96-41-40-44-46-28-26-23-22-d
10	o-55-10-30-d
11	o-78-84-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
