Evaluation
Total Distance	1272.902557865881
Used Vehicle Number	10

VehicleID	CustomerID
0	o-67-81-78-76-71-70-73-77-79-80-91-47-75-d
1	o-20-57-55-54-53-56-58-60-d
2	o-98-96-95-94-92-93-97-12-100-d
3	o-33-32-31-35-37-38-39-36-34-d
4	o-13-17-18-19-15-16-14-6-4-d
5	o-90-87-86-83-82-84-85-88-99-89-1-49-d
6	o-43-42-41-40-44-46-45-48-59-50-52-d
7	o-5-24-25-27-29-30-28-26-51-66-69-d
8	o-3-65-63-62-74-72-61-64-68-22-d
9	o-7-8-10-11-9-23-2-21-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
