Evaluation
Total Distance	1093.159648255272
Used Vehicle Number	11

VehicleID	CustomerID
0	o-13-17-18-19-15-16-14-12-99-d
1	o-33-32-31-35-37-38-39-36-34-d
2	o-24-20-25-27-29-30-28-26-23-22-21-49-d
3	o-81-78-76-74-72-61-64-68-66-69-47-d
4	o-57-55-54-53-56-58-60-59-d
5	o-43-42-41-40-44-46-45-48-51-50-52-75-d
6	o-5-3-7-8-10-11-9-6-4-2-1-d
7	o-90-87-86-83-82-84-85-88-89-91-d
8	o-98-96-95-71-70-73-77-79-80-d
9	o-67-65-63-94-92-93-97-100-d
10	o-62-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
