Evaluation
Total Distance	1253.271858194335
Used Vehicle Number	12

VehicleID	CustomerID
0	o-57-55-54-53-44-45-48-51-50-52-49-47-d
1	o-96-95-94-92-93-97-100-99-91-75-d
2	o-42-41-40-56-58-61-64-68-66-69-d
3	o-98-18-19-15-16-14-12-2-1-d
4	o-33-32-35-37-30-39-36-34-22-21-d
5	o-81-78-76-71-70-73-77-79-80-d
6	o-90-87-86-83-82-84-85-88-89-d
7	o-13-17-7-8-10-11-9-6-4-d
8	o-20-24-25-27-29-38-28-26-23-d
9	o-43-31-62-74-46-60-59-d
10	o-67-65-63-72-d
11	o-5-3-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
