Evaluation
Total Distance	1454.5403089458953
Used Vehicle Number	11

VehicleID	CustomerID
0	o-96-95-94-92-93-97-100-2-1-d
1	o-5-3-7-8-11-15-16-14-12-91-69-d
2	o-13-17-18-19-10-9-6-99-4-21-49-d
3	o-24-20-25-27-29-38-39-36-34-50-52-47-d
4	o-33-32-31-35-37-30-28-26-23-22-d
5	o-57-55-54-40-56-58-60-59-51-d
6	o-43-42-41-53-70-73-77-79-80-75-d
7	o-81-78-76-62-44-46-45-48-66-d
8	o-65-63-86-82-74-72-61-64-68-d
9	o-90-67-71-83-84-85-88-89-d
10	o-98-87-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
