Evaluation
Total Distance	1493.9648680985927
Used Vehicle Number	13

VehicleID	CustomerID
0	o-57-54-53-56-44-45-48-51-50-52-47-d
1	o-42-55-41-40-46-58-60-59-68-69-49-d
2	o-96-95-94-92-93-97-100-99-1-75-d
3	o-33-32-31-35-29-30-39-36-34-21-d
4	o-78-76-71-83-82-84-85-88-89-91-d
5	o-81-86-70-73-72-61-64-66-d
6	o-98-3-18-19-15-16-14-12-2-d
7	o-24-25-27-37-38-11-28-26-23-22-d
8	o-87-90-62-74-10-77-79-80-d
9	o-13-17-7-8-9-6-4-d
10	o-67-65-63-d
11	o-20-43-d
12	o-5-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
