Evaluation
Total Distance	1324.8617956548499
Used Vehicle Number	12

VehicleID	CustomerID
0	o-33-32-31-35-37-38-39-36-34-d
1	o-98-96-95-94-92-93-97-100-99-1-d
2	o-78-76-71-83-82-84-85-88-89-91-75-d
3	o-81-86-53-70-73-77-79-80-69-47-d
4	o-24-25-27-29-15-30-28-26-23-22-21-d
5	o-55-57-54-40-56-58-60-59-68-d
6	o-43-42-41-62-44-46-45-48-51-50-52-49-d
7	o-65-67-63-8-74-72-61-64-66-d
8	o-13-17-18-19-10-16-14-12-4-2-d
9	o-5-3-7-11-9-6-d
10	o-90-87-d
11	o-20-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
