Evaluation
Total Distance	1372.94451732365
Used Vehicle Number	11

VehicleID	CustomerID
0	o-24-20-25-27-29-38-39-36-34-50-52-49-d
1	o-65-67-63-62-74-72-61-64-68-66-69-d
2	o-3-5-7-8-11-15-16-14-12-91-1-d
3	o-42-43-41-40-56-58-60-59-51-22-21-47-d
4	o-87-90-86-83-82-73-77-79-80-75-d
5	o-17-13-18-19-37-30-28-26-23-d
6	o-96-98-95-94-92-93-97-100-99-d
7	o-33-32-31-35-44-46-45-48-89-d
8	o-55-57-54-53-70-85-88-d
9	o-78-81-76-71-84-9-6-4-2-d
10	o-10-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
