Evaluation
Total Distance	1719.4100436657984
Used Vehicle Number	15

VehicleID	CustomerID
0	o-98-37-92-91-44-38-86-16-61-14-d
1	o-43-42-15-41-22-75-56-74-72-57-d
2	o-52-31-27-7-19-49-63-90-32-d
3	o-51-81-33-71-9-66-35-34-3-d
4	o-46-45-83-82-8-18-48-47-89-d
5	o-24-39-67-55-4-25-54-d
6	o-20-69-30-29-68-77-50-1-d
7	o-60-36-64-10-17-5-d
8	o-28-11-62-88-95-96-59-100-85-d
9	o-12-65-78-21-73-58-26-d
10	o-94-97-2-23-13-93-d
11	o-76-79-80-d
12	o-99-6-87-70-d
13	o-53-40-d
14	o-84-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
