Evaluation
Total Distance	1431.7390590472103
Used Vehicle Number	12

VehicleID	CustomerID
0	o-20-65-71-9-66-35-81-1-d
1	o-37-14-43-15-41-22-75-56-74-57-2-d
2	o-12-24-29-34-78-79-51-50-77-3-28-d
3	o-73-72-39-23-67-55-54-4-25-d
4	o-91-16-86-44-38-98-85-61-17-5-d
5	o-59-92-42-97-99-96-6-46-83-60-d
6	o-19-36-64-49-47-48-82-7-31-d
7	o-52-18-45-84-8-90-63-70-d
8	o-32-11-62-88-10-13-95-94-89-d
9	o-26-33-76-40-53-68-80-21-d
10	o-27-69-30-93-100-d
11	o-87-58-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
