Evaluation
Total Distance	1543.6137069255942
Used Vehicle Number	4

VehicleID	CustomerID
0	o-27-92-59-5-83-14-44-98-95-2-21-40-73-72-75-23-67-39-22-41-15-57-42-38-86-17-45-8-53-54-80-68-20-35-24-4-55-25-56-93-91-100-74-d
1	o-69-33-63-30-31-88-82-99-16-61-64-36-47-19-11-90-66-65-10-62-49-46-84-96-6-97-43-37-13-1-70-32-48-89-60-58-d
2	o-28-52-76-12-78-71-9-79-51-29-81-7-18-94-85-50-34-3-26-77-d
3	o-87-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
