Evaluation
Total Distance	1485.63850267524
Used Vehicle Number	3

VehicleID	CustomerID
0	o-62-63-11-47-36-64-30-65-71-31-88-7-82-8-45-19-90-66-81-51-35-34-78-79-3-77-33-9-20-32-10-48-17-91-100-93-60-89-70-1-80-4-d
1	o-72-39-23-15-14-44-38-98-42-41-75-67-22-2-40-21-57-73-55-25-68-50-26-13-6-84-96-97-92-37-43-74-54-24-56-58-d
2	o-27-69-28-59-95-52-29-12-76-83-99-16-61-85-5-18-53-94-87-86-49-46-d
3	o-d
4	o-d
5	o-d
6	o-d
7	o-d
8	o-d
9	o-d
10	o-d
11	o-d
12	o-d
13	o-d
14	o-d
15	o-d
16	o-d
17	o-d
18	o-d
19	o-d
20	o-d
21	o-d
22	o-d
23	o-d
24	o-d
